slug,intent,path_en,seoTitle_en,seoTitle_length,seoTitle_status,seoDescription_en,seoDescription_length,seoDescription_status
average-order-value-calculator,informational,/en/average-order-value-calculator,Average Order Value Formula & Calculator (Free Online),54,OK,"Track transaction quality and campaign impact. Built for Ecommerce & Growth Teams, this free online average order value calculator gives accurate results in...",159,OK
break-even-point,informational,/en/break-even-point,Break-Even Point Formula & Calculator (Free Online),51,OK,"Know how many units you must sell to break even. Built for Startup Founders & Managers, this free online break even point gives accurate results in seconds...",158,OK
break-even-revenue-calculator,informational,/en/break-even-revenue-calculator,How to Calculate Break-Even Revenue (Free Online Tool),54,OK,"Estimate minimum revenue needed to avoid losses. Built for Founders & Finance Teams, this free online break even revenue calculator gives accurate results...",157,OK
cash-flow-forecast,informational,/en/cash-flow-forecast,How to Calculate Cash Flow Forecast (Free Online Tool),54,OK,"Project cash balance and avoid shortfalls early. Built for Finance Teams & Founders, this free online cash flow forecast gives accurate results in seconds...",157,OK
cash-runway-calculator,commercial,/en/cash-runway-calculator,Cash Runway Calculator for Startups & Finance Leads (Instant),61,OK,"Estimate how long your cash can sustain operations. Built for Startups & Finance Leads, this free online cash runway calculator gives accurate results in...",156,OK
compound-interest-calculator,informational,/en/compound-interest-calculator,Compound Interest Formula & Calculator (Free Online),52,OK,"See long-term growth from compounding returns. Built for Investors & Savers, this free online compound interest calculator gives accurate results in seconds...",159,OK
discount-reverse-calculator,transactional,/en/discount-reverse-calculator,Free Original Price from Discount Calculator Online,51,OK,"Recover pre-discount prices accurately. Built for Retail Teams & Sellers, this free online discount reverse calculator gives accurate results in seconds for...",159,OK
expense-ratio-calculator,informational,/en/expense-ratio-calculator,Expense Ratio Formula & Calculator (Free Online),48,OK,"See how much revenue is consumed by costs. Built for Finance Managers, this free online expense ratio calculator gives accurate results in seconds for...",153,OK
flat-installment-calculator,transactional,/en/flat-installment-calculator,Free Flat Installment Calculator Online for Finance Admins & Borrowers,70,OK,"Calculate fixed installments with flat interest. Built for Finance Admins & Borrowers, this free online flat installment calculator gives accurate results...",157,OK
gross-margin-calculator,commercial,/en/gross-margin-calculator,Best Gross Margin Calculator for Product and Sales Teams,56,OK,"Measure profit before operating expenses. Built for Product and Sales Teams, this free online gross margin calculator gives accurate results in seconds for...",158,OK
gross-profit-target-calculator,commercial,/en/gross-profit-target-calculator,Best Gross Profit Target Calculator for Sales & Finance Teams,61,OK,"Calculate revenue needed to reach gross profit goals. Built for Sales & Finance Teams, this free online gross profit target calculator gives accurate...",152,OK
invoice-due-date-calculator,transactional,/en/invoice-due-date-calculator,Free Invoice Due Date Calculator Online for Freelancers & AR Teams,66,OK,"Generate due dates quickly from payment terms. Built for Freelancers & AR Teams, this free online invoice due date calculator gives accurate results in...",154,OK
invoice-generator,transactional,/en/invoice-generator,Free Invoice Generator Calculator Online,40,OK,"Create polished invoices with tax-ready totals. Built for Freelancers & Small Businesses, this free online invoice generator gives accurate results in...",153,OK
invoice-tax-breakdown-calculator,transactional,/en/invoice-tax-breakdown-calculator,Free Invoice Tax Breakdown Calculator Online,44,OK,"Separate subtotal, tax, and total instantly. Built for Billing & Accounting Teams, this free online invoice tax breakdown calculator gives accurate results...",158,OK
kalkulator-diskon,transactional,/en/kalkulator-diskon,Discount Tool for Retail Sellers & Online Stores (Free & Accurate),66,OK,"Calculate final prices and savings instantly. Built for Retail Sellers & Online Stores, this free online discount calculator gives accurate results in...",153,OK
kalkulator-margin,commercial,/en/kalkulator-margin,Profit Margin Calculator for Sellers & Business Owners (Instant),64,OK,"Set healthier prices with clear margin insights. Built for Sellers & Business Owners, this free online margin calculator gives accurate results in seconds...",157,OK
kalkulator-ppn,transactional,/en/kalkulator-ppn,VAT Tool for SMEs & Invoice Teams (Free & Accurate),51,OK,"Add or extract VAT quickly and accurately. Built for SMEs & Invoice Teams, this free online vat calculator gives accurate results in seconds for faster...",154,OK
late-payment-interest-calculator,transactional,/en/late-payment-interest-calculator,Free Late Payment Interest Calculator Online,44,OK,"Calculate overdue fees and updated invoice totals. Built for Freelancers & Billing Teams, this free online late payment interest calculator gives accurate...",157,OK
loan-affordability-calculator,commercial,/en/loan-affordability-calculator,Best Loan Affordability Calculator for Borrowers & Loan Applicants,66,OK,"Find a safer loan amount for your budget. Built for Borrowers & Loan Applicants, this free online loan affordability calculator gives accurate results in...",156,OK
loan-calculator,commercial,/en/loan-calculator,Loan Payment Calculator for Personal & Business Borrowers (Instant),67,OK,"Estimate monthly installments and total interest. Built for Personal & Business Borrowers, this free online loan calculator gives accurate results in...",152,OK
net-profit-margin-calculator,commercial,/en/net-profit-margin-calculator,Best Net Profit Margin Calculator for Finance Teams & Business Owners,69,OK,"Track bottom-line profitability with confidence. Built for Finance Teams & Business Owners, this free online net profit margin calculator gives accurate...",155,OK
payment-due-date-calculator,transactional,/en/payment-due-date-calculator,Free Payment Due Date Calculator Online,39,OK,"Set accurate due dates from payment terms. Built for Billing Teams & Freelancers, this free online payment due date calculator gives accurate results in...",155,OK
percentage-calculator,transactional,/en/percentage-calculator,"Percentage Tool for Students, Teams, and Daily Users (Free & Accurate)",70,OK,"Solve increase, decrease, and ratio questions fast. Built for Students, Teams, and Daily Users, this free online percentage calculator gives accurate...",152,OK
price-markup-calculator,commercial,/en/price-markup-calculator,Markup Price Calculator for Retail & Wholesale Sellers (Instant),64,OK,"Turn costs into profitable selling prices. Built for Retail & Wholesale Sellers, this free online price markup calculator gives accurate results in seconds...",158,OK
profit-calculator,transactional,/en/profit-calculator,Profit Tool for Business Owners & Store Managers (Free & Accurate),66,OK,"Calculate profit fast from revenue and costs. Built for Business Owners & Store Managers, this free online profit calculator gives accurate results in...",153,OK
